Pregunta,Tipo,Opción1,Opción2,Opción3
En general  estoy satisfecho/a con el módulo recibido.,multiple,Excelente,Bueno,Regular
La información del módulo fue clara y comprensible.,multiple,Excelente,Bueno,Regular
¿La duración del módulo fue adecuada?,multiple,Excelente,Bueno,Regular
Los contenidos tratados en este evento  son útiles para su organización o para el desarrollo de su trabajo,multiple,Excelente,Bueno,Regular
¿La presentación del material (diapositivas  recursos) fue adecuada?,multiple,Excelente,Bueno,Regular
¿La herramienta de capacitación virtual fue fácil de usar?,multiple,Sí,Parcialmente,No
¿Durante la capacitación presentó problemas en la plataforma?,multiple,Sí,Parcialmente,No
¿Recomendaría este módulo a otros colaboradores?,multiple,Sí,Tal vez,No
¿Sobre qué temas usted considera que requiere ser capacitado?,completar,,,
¿Qué recomendaciones daría usted a los organizadores?,completar,,,
