Pregunta,Tipo,Opción1,Opción2,Opción3
¿Qué tan claro te pareció el contenido del curso?,multiple,Muy claro,Poco claro,Nada claro
El curso cumplió con tus expectativas.,verdadero_falso,VERDADERO,FALSO,
Complete: El tiempo destinado al curso me pareció ______.,completar,adecuado,muy corto,excesivo
¿Cómo calificarías la experiencia general del curso?,multiple,Excelente,Buena,Regular
El instructor demostró dominio sobre el tema del curso.,verdadero_falso,VERDADERO,FALSO,
Complete: Lo que más me gustó del curso fue ______.,completar,la claridad de los temas,la interacción con el instructor,el material entregado
¿Cuál fue el aspecto más útil del curso para ti?,multiple,Conocer sobre pólizas,Saber sobre derechos del asegurado,Normativa de seguros
El material didáctico proporcionado fue adecuado.,verdadero_falso,VERDADERO,FALSO,
Complete: Me gustaría que en futuras capacitaciones se incluya ______.,completar,estudios de casos reales,sesiones prácticas,ejercicios interactivos
¿Cómo evalúas la utilidad del curso para tu trabajo o vida personal?,multiple,Muy útil,Poco útil,Nada útil
