Pregunta,Tipo,Opción1,Opción2,Opción3
¿Con qué nivel de claridad considera que fue explicado el funcionamiento del Seguro de Depósitos?,multiple,Muy claro,Poco claro,Nada claro
¿Qué tan satisfecho está con la información recibida sobre la cobertura del COSEDE?,multiple,Satisfecho,Neutral,Insatisfecho
¿Considera que el Seguro de Depósitos fortalece su confianza en la cooperativa?,verdadero_falso,VERDADERO,FALSO,
¿La información brindada sobre el COSEDE respondió a sus dudas?,multiple,Sí  totalmente,Parcialmente,No
¿Conocía usted del Seguro de Depósitos antes de esta capacitación?,verdadero_falso,VERDADERO,FALSO,
¿Qué tan accesible le pareció el lenguaje utilizado para explicar el COSEDE?,multiple,Muy accesible,Regular,Difícil de entender
El contenido sobre el Seguro de Depósitos fue:,multiple,Relevante,Poco relevante,Irrelevante
¿Cómo califica el tiempo destinado a explicar el tema del Seguro de Depósitos?,multiple,Adecuado,Corto,Largo
¿Cree que esta información debería compartirse con más socios?,verdadero_falso,VERDADERO,FALSO,
¿Qué sugerencias tiene para mejorar la socialización del tema?,completar,,,
