Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Cuál es el objetivo principal del proceso de calificación de idoneidad?,multiple,Designar suplentes para los vocales del consejo,Elegir a los socios con mayor antigüedad,Garantizar que los administradores y vocales cumplan con requisitos técnicos y éticos,Garantizar que los administradores y vocales cumplan con requisitos técnicos y éticos
¿Quién emite la normativa que regula la calificación de idoneidad en las cooperativas del sector EPS?,multiple,Ministerio de Trabajo,Asamblea Nacional,Superintendencia de Economía Popular y Solidaria (SEPS),Superintendencia de Economía Popular y Solidaria (SEPS)
¿Cuál de los siguientes documentos es obligatorio para calificar la idoneidad?,multiple,Copia del RUC de la entidad,Declaración juramentada de no inhabilitación, Constancia de votación de los socios,Declaración juramentada de no inhabilitación
¿Qué ocurre si un vocal no cumple con la capacitación posterior a su calificación?,multiple,No hay consecuencias legales,Puede ser removido del cargo,Solo se emite una advertencia verbal,Puede ser removido del cargo
¿Qué plazo tienen las cooperativas para registrar la información de sus representantes una vez designados?,multiple,60 días hábiles,No hay plazo establecido,15 días hábiles,15 días hábiles
Todos los segmentos del sector financiero popular y solidario deben cumplir con el proceso de calificación de idoneidad.,verdadero_falso,,,,VERDADERO
La experiencia profesional no es considerada en el análisis de idoneidad.,verdadero_falso,,,,FALSO
Una persona puede calificar como vocal aunque tenga inhabilidades legales vigentes.,verdadero_falso,,,,FALSO
La capacitación es obligatoria solo para los vocales principales  no para los suplentes.,verdadero_falso,,,,FALSO
El cumplimiento normativo fortalece la transparencia y la gestión institucional.,verdadero_falso,,,,VERDADERO
