Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
El riesgo operacional puede originarse por fallas en procesos  personas  tecnología o eventos externos.,verdadero_falso,,,,VERDADERO
¿Qué resolución contiene la norma vigente para la administración del   riesgo operativo en el sector financiero popular y solidario en Ecuador?,multiple,SEPS-IGT-IR-IGJ-2018-0279,SEPS-IGT-IGS-INSESF-INR-INGINT-INSEPS-IGJ-0116,SEPS-IGT-IGS-INR-INGINT2020-0221,SEPS-IGT-IGS-INSESF-INR-INGINT-INSEPS-IGJ-0116
¿Cuál es el riesgo que se evalúa sin aplicar controles?,multiple,Riesgo residual,Riesgo inherente,Riesgo externo,Riesgo inherente
¿Cuál de las siguientes NO es una etapa del Sistema de Gestión de Riesgo Operativo (SIGRO)?,multiple,Identificar,Medir,Financiar,Financiar
¿Qué elemento forma parte del SIGRO?,multiple,Manual contable,Estrategias de ventas,Políticas y procedimientos,Políticas y procedimientos
¿Cuál de los siguientes elementos forma parte del Sistema de Gestión de Riesgo Operativo (SIGRO)?,multiple,Estrategia publicitaria,Capacitación al personal,Manual de marketing,Capacitación al personal
¿Qué tipo de riesgo se obtiene luego de aplicar los controles adecuados sobre el riesgo identificado?,multiple,Riesgo inherente,Riesgo externo,Riesgo residual,Riesgo residual
¿Qué etapa del Sistema de Gestión de Riesgo Operativo consiste en observar y analizar la evolución de los riesgos identificados?,multiple,Controlar,Medir,Monitorear,Monitorear
¿Cuál es el propósito de la etapa “Controlar/Mitigar” en el Sistema de Gestión de Riesgo Operativo (SIGRO)?,multiple,Identificar los riesgos potenciales antes de que ocurran,Realizar auditorías internas sobre los procesos operativos,Aplicar controles que reduzcan la probabilidad e impacto de los riesgos,Aplicar controles que reduzcan la probabilidad e impacto de los riesgos
Implementar respaldos periódicos de bases de datos y usar almacenamiento en la nube son acciones propias de la etapa de Controlar/Mitigar dentro del SIGRO,verdadero_falso,,,,VERDADERO
