Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Cuál es el órgano máximo de decisión en una cooperativa de la EPS?,multiple,Consejo de administración,Asamblea General,Consejo de vigilancia,Asamblea General
¿Qué relación tienen los socios con la organización?,multiple,Solo consumidores de servicios,Participan activamente en la toma de decisiones,Funcionan como empleados,Participan activamente en la toma de decisiones
Una atribución del Consejo de Administración es:,multiple,Aprobar los informes de auditoría externa,Dirigir y controlar las actividades de la organización,Elaborar los presupuestos familiares de los socios,Dirigir y controlar las actividades de la organización
¿Cuál es la principal función del Consejo de Vigilancia?,multiple,Fiscalizar el cumplimiento de normas y decisiones,Representar legalmente a la cooperativa,Ejecutar las actividades operativas,Fiscalizar el cumplimiento de normas y decisiones
El gerente de una cooperativa es responsable de:,multiple,Emitir leyes internas,Ejecutar las decisiones del Consejo de Administración,Elegir a los vocales de la asamblea,Ejecutar las decisiones del Consejo de Administración
Las comisiones especiales tienen como finalidad:,multiple,Ejecutar los pagos,Apoyar funciones específicas determinadas por los órganos de dirección,Fiscalizar la gestión financiera,Apoyar funciones específicas determinadas por los órganos de dirección
En las asociaciones  el equivalente a la Asamblea General de una cooperativa es:,multiple,La junta de vigilancia,La Junta General,La Junta Directiva,La Junta General
¿Qué funciones cumple el administrador en una asociación?,multiple,Ejecutar decisiones y representar a la organización,Controlar las decisiones de los socios,Recaudar fondos externos,Ejecutar decisiones y representar a la organización
Podrán ser socios las personas naturales legalmente capaces o las personas jurídicas que cumplan con el vínculo __________ y los requisitos establecidos en el reglamento de la LOEPS y en el estatuto social de la organización.,completar,,,,común
La participación activa  el respeto a las decisiones colectivas y la promoción de la transparencia fortalecen el cumplimiento de normas internas y el funcionamiento democrático de las organizaciones de la EPS.,verdadero_falso,,,,VERDADERO
