Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Qué es la Economía Popular y Solidaria?,multiple,Un sistema financiero internacional,Una forma de organización económica basada en la producción colectiva y principios solidarios,Un modelo empresarial estatal,Una forma de organización económica basada en la producción colectiva y principios solidarios
La EPS se fundamenta en relaciones basadas en:,multiple,Competencia y beneficio individual,Capital y lucro,Solidaridad  cooperación y reciprocidad,Solidaridad  cooperación y reciprocidad
¿Cuál de estos principios pertenece a la EPS?,multiple,Prelación del capital sobre el trabajo,Búsqueda del buen vivir y bien común,Maximización del beneficio privado,Búsqueda del buen vivir y bien común
La autogestión es un principio de la Economía Popular y Solidaria:,verdadero_falso,,,,VERDADERO
¿Qué organismo regula y supervisa a las organizaciones de la EPS?,multiple,Banco Central del Ecuador,Superintendencia de Bancos,Superintendencia de Economía Popular y Solidaria (SEPS),Superintendencia de Economía Popular y Solidaria (SEPS)
¿Qué promueve la supervisión de la SEPS?,multiple,Incremento de impuestos,Control estatal absoluto,Buenas prácticas  transparencia y cumplimiento normativo,Buenas prácticas  transparencia y cumplimiento normativo
Las organizaciones de la EPS no rinden cuentas ni tienen responsabilidad social:,verdadero_falso,,,,FALSO
¿Qué se prioriza según los principios de la EPS?,multiple,El capital sobre el trabajo,El comercio internacional,El trabajo sobre el capital,El trabajo sobre el capital
La Economía Popular y Solidaria es una forma de organización __________ en la que sus integrantes desarrollan procesos para satisfacer necesidades y generar ingresos.,completar,,,,económica
La rendición de cuentas y la responsabilidad social son principios fundamentales de la Economía Popular y Solidaria.,verdadero_falso,,,,VERDADERO
