Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Cuál es el objetivo principal del buen gobierno cooperativo?,multiple,Aumentar las ganancias de los socios,Cumplir metas comerciales anuales,Promover una gestión ética  participativa y transparente,Promover una gestión ética  participativa y transparente
¿Qué significa gobernabilidad en una cooperativa?,multiple,Imposición de normas sin participación,Control absoluto del consejo de administración,Capacidad de tomar decisiones legítimas  transparentes y participativas,Capacidad de tomar decisiones legítimas  transparentes y participativas
¿Cuál de estos es un principio del buen gobierno cooperativo?,multiple,Centralización de poder,Control financiero total del gerente,Transparencia en la toma de decisiones,Transparencia en la toma de decisiones
¿Qué órgano garantiza la participación democrática dentro de una cooperativa?,multiple,El gerente,La Asamblea General,El Consejo de Vigilancia,La Asamblea General
¿Cuál de las siguientes opciones representa una causa que limita una buena gobernabilidad?,multiple,Capacitación continua,Participación activa,Confusión de roles y funciones,Confusión de roles y funciones
La estructura organizativa de una cooperativa permite:,multiple,Reducir el número de socios,Obtener financiamiento estatal,Establecer responsabilidades claras y eficaces,Establecer responsabilidades claras y eficaces
¿Qué se entiende por liderazgo ético?,multiple,Imposición de normas desde la dirección,Control interno sobre los empleados,Coherencia entre los valores  decisiones y acciones del líder,Coherencia entre los valores  decisiones y acciones del líder
¿Qué función cumple la normativa de base en el gobierno cooperativo?,multiple,Elimina derechos de los socios,Otorga autonomía ilimitada al gerente,Establece reglas para la participación y toma de decisiones,Establece reglas para la participación y toma de decisiones
¿Cuál de las siguientes prácticas refleja una buena gobernanza?,multiple,Ocultamiento de decisiones estratégicas,Rendir cuentas a los socios,Concentración de poder en la presidencia,Rendir cuentas a los socios
¿Qué aspecto es clave para aplicar la gobernabilidad en una cooperativa?,multiple,Excluir a los socios de las decisiones,Promover el acceso a la información y participación activa,Limitar las reuniones de trabajo,Promover el acceso a la información y participación activa
