Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Cuál es el órgano supremo de decisión en una cooperativa según el procedimiento parlamentario?,multiple,Gerencia,Asamblea General,Consejo de Vigilancia,Asamblea General
¿Cuál es el documento que debe contener expresamente los puntos a tratar en la asamblea?,multiple,Acta anterior,Convocatoria,Presupuesto anual,Convocatoria
¿Qué se requiere para que una asamblea general sea válida?,multiple,Voto del presidente,Quórum legal reglamentario,Publicación en medios,Quórum legal reglamentario
¿Cuántos días tiene un socio para impugnar una resolución de la asamblea?,multiple,3 días,10 días,5 días,5 días
¿Qué institución puede dejar sin efecto una resolución si no se cumple el procedimiento?,multiple,Gerencia,Asamblea de Representantes,Superintendencia de Economía Popular y Solidaria,Superintendencia de Economía Popular y Solidaria
¿Cuál de estas NO es una causa para la nulidad de una resolución de asamblea?,multiple,Ausencia de quórum,Incumplimiento del orden del día,Opinión del gerente,Opinión del gerente
¿Qué tipo de sesión puede convocar el Consejo de Administración?,multiple,Solo sesiones ordinarias,Sesiones ordinarias y extraordinarias,Solo sesiones privadas,Sesiones ordinarias y extraordinarias
¿Qué debe incluir el acta de una sesión o asamblea?,multiple,Opiniones generales,Fecha  hora  lugar  orden del día  resoluciones y firmas,Comentarios de los socios,Fecha  hora  lugar  orden del día  resoluciones y firmas
¿Qué se debe hacer con las actas aprobadas?,multiple,Enviarlas a los socios por correo,Archivarlas correctamente para consulta y fiscalización,Publicarlas en redes sociales,Archivarlas correctamente para consulta y fiscalización
La convocatoria a una asamblea debe contener el orden del día y ser comunicada en los plazos establecidos.,verdadero_falso,,,,VERDADERO
